Block,Species,Sex,Year,Quota
Deka Pool,Baboon,Male,2000,
Deka Pool,Baboon,Male,2001,
Deka Pool,Baboon,Male,2002,
Deka Pool,Baboon,Male,2003,
Deka Pool,Baboon,Male,2004,
Deka Pool,Baboon,Male,2005,
Deka Pool,Baboon,Male,2006,10
Deka Pool,Baboon,Male,2007,10
Deka Pool,Baboon,Male,2008,10
Deka Pool,Baboon,Male,2009,10
Deka Pool,Baboon,Male,2010,10
Deka Pool,Baboon,Male,2011,10
Deka Pool,Baboon,Male,2012,10
Deka Pool,Baboon,Male,2013,10
Deka Pool,Baboon,Male,2014,10
Deka Pool,Baboon,Male,2015,10
Deka Pool,Baboon,Male,2016,10
Deka Pool,Baboon,Male,2017,10
Deka Pool,Baboon,Male,2018,10
Deka Pool,Buffalo,Female,2000,
Deka Pool,Buffalo,Female,2001,
Deka Pool,Buffalo,Female,2002,
Deka Pool,Buffalo,Female,2003,
Deka Pool,Buffalo,Female,2004,
Deka Pool,Buffalo,Female,2005,
Deka Pool,Buffalo,Female,2006,2
Deka Pool,Buffalo,Female,2007,2
Deka Pool,Buffalo,Female,2008,0
Deka Pool,Buffalo,Female,2009,0
Deka Pool,Buffalo,Female,2010,0
Deka Pool,Buffalo,Female,2011,0
Deka Pool,Buffalo,Female,2012,0
Deka Pool,Buffalo,Female,2013,0
Deka Pool,Buffalo,Female,2014,0
Deka Pool,Buffalo,Female,2015,0
Deka Pool,Buffalo,Female,2016,0
Deka Pool,Buffalo,Female,2017,0
Deka Pool,Buffalo,Female,2018,0
Deka Pool,Buffalo,Male,2000,
Deka Pool,Buffalo,Male,2001,
Deka Pool,Buffalo,Male,2002,
Deka Pool,Buffalo,Male,2003,
Deka Pool,Buffalo,Male,2004,
Deka Pool,Buffalo,Male,2005,
Deka Pool,Buffalo,Male,2006,6
Deka Pool,Buffalo,Male,2007,5
Deka Pool,Buffalo,Male,2008,5
Deka Pool,Buffalo,Male,2009,5
Deka Pool,Buffalo,Male,2010,8
Deka Pool,Buffalo,Male,2011,8
Deka Pool,Buffalo,Male,2012,8
Deka Pool,Buffalo,Male,2013,8
Deka Pool,Buffalo,Male,2014,8
Deka Pool,Buffalo,Male,2015,8
Deka Pool,Buffalo,Male,2016,9
Deka Pool,Buffalo,Male,2017,9
Deka Pool,Buffalo,Male,2018,9
Deka Pool,Bushbuck,Male,2000,
Deka Pool,Bushbuck,Male,2001,
Deka Pool,Bushbuck,Male,2002,
Deka Pool,Bushbuck,Male,2003,
Deka Pool,Bushbuck,Male,2004,
Deka Pool,Bushbuck,Male,2005,
Deka Pool,Bushbuck,Male,2006,2
Deka Pool,Bushbuck,Male,2007,2
Deka Pool,Bushbuck,Male,2008,2
Deka Pool,Bushbuck,Male,2009,2
Deka Pool,Bushbuck,Male,2010,2
Deka Pool,Bushbuck,Male,2011,2
Deka Pool,Bushbuck,Male,2012,2
Deka Pool,Bushbuck,Male,2013,2
Deka Pool,Bushbuck,Male,2014,2
Deka Pool,Bushbuck,Male,2015,2
Deka Pool,Bushbuck,Male,2016,2
Deka Pool,Bushbuck,Male,2017,2
Deka Pool,Bushbuck,Male,2018,2
Deka Pool,Civet,Either,2000,
Deka Pool,Civet,Either,2001,
Deka Pool,Civet,Either,2002,
Deka Pool,Civet,Either,2003,
Deka Pool,Civet,Either,2004,
Deka Pool,Civet,Either,2005,
Deka Pool,Civet,Either,2006,10
Deka Pool,Civet,Either,2007,10
Deka Pool,Civet,Either,2008,10
Deka Pool,Civet,Either,2009,10
Deka Pool,Civet,Either,2010,10
Deka Pool,Civet,Either,2011,10
Deka Pool,Civet,Either,2012,10
Deka Pool,Civet,Either,2013,10
Deka Pool,Civet,Either,2014,10
Deka Pool,Civet,Either,2015,10
Deka Pool,Civet,Either,2016,4
Deka Pool,Civet,Either,2017,4
Deka Pool,Civet,Either,2018,4
Deka Pool,Crocodile,Male,2000,
Deka Pool,Crocodile,Male,2001,
Deka Pool,Crocodile,Male,2002,
Deka Pool,Crocodile,Male,2003,
Deka Pool,Crocodile,Male,2004,
Deka Pool,Crocodile,Male,2005,
Deka Pool,Crocodile,Male,2006,0
Deka Pool,Crocodile,Male,2007,0
Deka Pool,Crocodile,Male,2008,0
Deka Pool,Crocodile,Male,2009,0
Deka Pool,Crocodile,Male,2010,0
Deka Pool,Crocodile,Male,2011,0
Deka Pool,Crocodile,Male,2012,0
Deka Pool,Crocodile,Male,2013,0
Deka Pool,Crocodile,Male,2014,0
Deka Pool,Crocodile,Male,2015,0
Deka Pool,Crocodile,Male,2016,0
Deka Pool,Crocodile,Male,2017,0
Deka Pool,Crocodile,Male,2018,0
Deka Pool,Duiker,Either,2000,
Deka Pool,Duiker,Either,2001,
Deka Pool,Duiker,Either,2002,
Deka Pool,Duiker,Either,2003,
Deka Pool,Duiker,Either,2004,
Deka Pool,Duiker,Either,2005,
Deka Pool,Duiker,Either,2006,9
Deka Pool,Duiker,Either,2007,9
Deka Pool,Duiker,Either,2008,9
Deka Pool,Duiker,Either,2009,9
Deka Pool,Duiker,Either,2010,9
Deka Pool,Duiker,Either,2011,9
Deka Pool,Duiker,Either,2012,9
Deka Pool,Duiker,Either,2013,9
Deka Pool,Duiker,Either,2014,9
Deka Pool,Duiker,Either,2015,9
Deka Pool,Duiker,Either,2016,3
Deka Pool,Duiker,Either,2017,3
Deka Pool,Duiker,Either,2018,3
Deka Pool,Eland,Male,2000,
Deka Pool,Eland,Male,2001,
Deka Pool,Eland,Male,2002,
Deka Pool,Eland,Male,2003,
Deka Pool,Eland,Male,2004,
Deka Pool,Eland,Male,2005,
Deka Pool,Eland,Male,2006,1
Deka Pool,Eland,Male,2007,1
Deka Pool,Eland,Male,2008,1
Deka Pool,Eland,Male,2009,1
Deka Pool,Eland,Male,2010,1
Deka Pool,Eland,Male,2011,1
Deka Pool,Eland,Male,2012,1
Deka Pool,Eland,Male,2013,1
Deka Pool,Eland,Male,2014,1
Deka Pool,Eland,Male,2015,1
Deka Pool,Eland,Male,2016,1
Deka Pool,Eland,Male,2017,1
Deka Pool,Eland,Male,2018,1
Deka Pool,Elephant,Male,2000,
Deka Pool,Elephant,Male,2001,
Deka Pool,Elephant,Male,2002,
Deka Pool,Elephant,Male,2003,
Deka Pool,Elephant,Male,2004,
Deka Pool,Elephant,Male,2005,
Deka Pool,Elephant,Male,2006,5
Deka Pool,Elephant,Male,2007,5
Deka Pool,Elephant,Male,2008,4
Deka Pool,Elephant,Male,2009,4
Deka Pool,Elephant,Male,2010,6
Deka Pool,Elephant,Male,2011,6
Deka Pool,Elephant,Male,2012,4
Deka Pool,Elephant,Male,2013,4
Deka Pool,Elephant,Male,2014,4
Deka Pool,Elephant,Male,2015,4
Deka Pool,Elephant,Male,2016,4
Deka Pool,Elephant,Male,2017,4
Deka Pool,Elephant,Male,2018,4
Deka Pool,Elephant,t/l,2000,
Deka Pool,Elephant,t/l,2001,
Deka Pool,Elephant,t/l,2002,
Deka Pool,Elephant,t/l,2003,
Deka Pool,Elephant,t/l,2004,
Deka Pool,Elephant,t/l,2005,
Deka Pool,Elephant,t/l,2006,2
Deka Pool,Elephant,t/l,2007,2
Deka Pool,Elephant,t/l,2008,2
Deka Pool,Elephant,t/l,2009,2
Deka Pool,Elephant,t/l,2010,2
Deka Pool,Elephant,t/l,2011,2
Deka Pool,Elephant,t/l,2012,2
Deka Pool,Elephant,t/l,2013,2
Deka Pool,Elephant,t/l,2014,2
Deka Pool,Elephant,t/l,2015,2
Deka Pool,Elephant,t/l,2016,2
Deka Pool,Elephant,t/l,2017,2
Deka Pool,Elephant,t/l,2018,2
Deka Pool,Francolin,Either,2000,
Deka Pool,Francolin,Either,2001,
Deka Pool,Francolin,Either,2002,
Deka Pool,Francolin,Either,2003,
Deka Pool,Francolin,Either,2004,
Deka Pool,Francolin,Either,2005,
Deka Pool,Francolin,Either,2006,150
Deka Pool,Francolin,Either,2007,150
Deka Pool,Francolin,Either,2008,150
Deka Pool,Francolin,Either,2009,150
Deka Pool,Francolin,Either,2010,150
Deka Pool,Francolin,Either,2011,150
Deka Pool,Francolin,Either,2012,150
Deka Pool,Francolin,Either,2013,150
Deka Pool,Francolin,Either,2014,150
Deka Pool,Francolin,Either,2015,150
Deka Pool,Francolin,Either,2016,150
Deka Pool,Francolin,Either,2017,150
Deka Pool,Francolin,Either,2018,150
Deka Pool,Genet,Either,2000,
Deka Pool,Genet,Either,2001,
Deka Pool,Genet,Either,2002,
Deka Pool,Genet,Either,2003,
Deka Pool,Genet,Either,2004,
Deka Pool,Genet,Either,2005,
Deka Pool,Genet,Either,2006,3
Deka Pool,Genet,Either,2007,3
Deka Pool,Genet,Either,2008,3
Deka Pool,Genet,Either,2009,3
Deka Pool,Genet,Either,2010,3
Deka Pool,Genet,Either,2011,3
Deka Pool,Genet,Either,2012,3
Deka Pool,Genet,Either,2013,3
Deka Pool,Genet,Either,2014,3
Deka Pool,Genet,Either,2015,3
Deka Pool,Genet,Either,2016,3
Deka Pool,Genet,Either,2017,2
Deka Pool,Genet,Either,2018,2
Deka Pool,Giraffe,Male,2000,
Deka Pool,Giraffe,Male,2001,
Deka Pool,Giraffe,Male,2002,
Deka Pool,Giraffe,Male,2003,
Deka Pool,Giraffe,Male,2004,
Deka Pool,Giraffe,Male,2005,
Deka Pool,Giraffe,Male,2006,0
Deka Pool,Giraffe,Male,2007,0
Deka Pool,Giraffe,Male,2008,0
Deka Pool,Giraffe,Male,2009,0
Deka Pool,Giraffe,Male,2010,0
Deka Pool,Giraffe,Male,2011,0
Deka Pool,Giraffe,Male,2012,0
Deka Pool,Giraffe,Male,2013,0
Deka Pool,Giraffe,Male,2014,0
Deka Pool,Giraffe,Male,2015,1
Deka Pool,Giraffe,Male,2016,1
Deka Pool,Giraffe,Male,2017,1
Deka Pool,Giraffe,Male,2018,1
Deka Pool,Grysbok,Male,2000,
Deka Pool,Grysbok,Male,2001,
Deka Pool,Grysbok,Male,2002,
Deka Pool,Grysbok,Male,2003,
Deka Pool,Grysbok,Male,2004,
Deka Pool,Grysbok,Male,2005,
Deka Pool,Grysbok,Male,2006,0
Deka Pool,Grysbok,Male,2007,0
Deka Pool,Grysbok,Male,2008,0
Deka Pool,Grysbok,Male,2009,0
Deka Pool,Grysbok,Male,2010,0
Deka Pool,Grysbok,Male,2011,0
Deka Pool,Grysbok,Male,2012,0
Deka Pool,Grysbok,Male,2013,0
Deka Pool,Grysbok,Male,2014,0
Deka Pool,Grysbok,Male,2015,0
Deka Pool,Grysbok,Male,2016,0
Deka Pool,Grysbok,Male,2017,1
Deka Pool,Grysbok,Male,2018,1
Deka Pool,Guinea fowl,Either,2000,
Deka Pool,Guinea fowl,Either,2001,
Deka Pool,Guinea fowl,Either,2002,
Deka Pool,Guinea fowl,Either,2003,
Deka Pool,Guinea fowl,Either,2004,
Deka Pool,Guinea fowl,Either,2005,
Deka Pool,Guinea fowl,Either,2006,150
Deka Pool,Guinea fowl,Either,2007,150
Deka Pool,Guinea fowl,Either,2008,150
Deka Pool,Guinea fowl,Either,2009,150
Deka Pool,Guinea fowl,Either,2010,150
Deka Pool,Guinea fowl,Either,2011,150
Deka Pool,Guinea fowl,Either,2012,150
Deka Pool,Guinea fowl,Either,2013,150
Deka Pool,Guinea fowl,Either,2014,150
Deka Pool,Guinea fowl,Either,2015,150
Deka Pool,Guinea fowl,Either,2016,150
Deka Pool,Guinea fowl,Either,2017,150
Deka Pool,Guinea fowl,Either,2018,150
Deka Pool,Impala,Female,2000,
Deka Pool,Impala,Female,2001,
Deka Pool,Impala,Female,2002,
Deka Pool,Impala,Female,2003,
Deka Pool,Impala,Female,2004,
Deka Pool,Impala,Female,2005,
Deka Pool,Impala,Female,2006,25
Deka Pool,Impala,Female,2007,25
Deka Pool,Impala,Female,2008,13
Deka Pool,Impala,Female,2009,13
Deka Pool,Impala,Female,2010,20
Deka Pool,Impala,Female,2011,20
Deka Pool,Impala,Female,2012,20
Deka Pool,Impala,Female,2013,20
Deka Pool,Impala,Female,2014,20
Deka Pool,Impala,Female,2015,20
Deka Pool,Impala,Female,2016,20
Deka Pool,Impala,Female,2017,20
Deka Pool,Impala,Female,2018,20
Deka Pool,Impala,Male,2000,
Deka Pool,Impala,Male,2001,
Deka Pool,Impala,Male,2002,
Deka Pool,Impala,Male,2003,
Deka Pool,Impala,Male,2004,
Deka Pool,Impala,Male,2005,
Deka Pool,Impala,Male,2006,40
Deka Pool,Impala,Male,2007,40
Deka Pool,Impala,Male,2008,45
Deka Pool,Impala,Male,2009,45
Deka Pool,Impala,Male,2010,45
Deka Pool,Impala,Male,2011,45
Deka Pool,Impala,Male,2012,45
Deka Pool,Impala,Male,2013,45
Deka Pool,Impala,Male,2014,45
Deka Pool,Impala,Male,2015,45
Deka Pool,Impala,Male,2016,45
Deka Pool,Impala,Male,2017,45
Deka Pool,Impala,Male,2018,45
Deka Pool,Jackal,Either,2000,
Deka Pool,Jackal,Either,2001,
Deka Pool,Jackal,Either,2002,
Deka Pool,Jackal,Either,2003,
Deka Pool,Jackal,Either,2004,
Deka Pool,Jackal,Either,2005,
Deka Pool,Jackal,Either,2006,3
Deka Pool,Jackal,Either,2007,3
Deka Pool,Jackal,Either,2008,3
Deka Pool,Jackal,Either,2009,3
Deka Pool,Jackal,Either,2010,3
Deka Pool,Jackal,Either,2011,3
Deka Pool,Jackal,Either,2012,3
Deka Pool,Jackal,Either,2013,3
Deka Pool,Jackal,Either,2014,3
Deka Pool,Jackal,Either,2015,3
Deka Pool,Jackal,Either,2016,3
Deka Pool,Jackal,Either,2017,3
Deka Pool,Jackal,Either,2018,3
Deka Pool,Klipspringer,Male,2000,
Deka Pool,Klipspringer,Male,2001,
Deka Pool,Klipspringer,Male,2002,
Deka Pool,Klipspringer,Male,2003,
Deka Pool,Klipspringer,Male,2004,
Deka Pool,Klipspringer,Male,2005,
Deka Pool,Klipspringer,Male,2006,3
Deka Pool,Klipspringer,Male,2007,3
Deka Pool,Klipspringer,Male,2008,2
Deka Pool,Klipspringer,Male,2009,2
Deka Pool,Klipspringer,Male,2010,5
Deka Pool,Klipspringer,Male,2011,5
Deka Pool,Klipspringer,Male,2012,5
Deka Pool,Klipspringer,Male,2013,5
Deka Pool,Klipspringer,Male,2014,5
Deka Pool,Klipspringer,Male,2015,5
Deka Pool,Klipspringer,Male,2016,5
Deka Pool,Klipspringer,Male,2017,5
Deka Pool,Klipspringer,Male,2018,5
Deka Pool,Kudu,Female,2000,
Deka Pool,Kudu,Female,2001,
Deka Pool,Kudu,Female,2002,
Deka Pool,Kudu,Female,2003,
Deka Pool,Kudu,Female,2004,
Deka Pool,Kudu,Female,2005,
Deka Pool,Kudu,Female,2006,2
Deka Pool,Kudu,Female,2007,2
Deka Pool,Kudu,Female,2008,0
Deka Pool,Kudu,Female,2009,0
Deka Pool,Kudu,Female,2010,0
Deka Pool,Kudu,Female,2011,0
Deka Pool,Kudu,Female,2012,0
Deka Pool,Kudu,Female,2013,0
Deka Pool,Kudu,Female,2014,0
Deka Pool,Kudu,Female,2015,0
Deka Pool,Kudu,Female,2016,0
Deka Pool,Kudu,Female,2017,0
Deka Pool,Kudu,Female,2018,0
Deka Pool,Kudu,Male,2000,
Deka Pool,Kudu,Male,2001,
Deka Pool,Kudu,Male,2002,
Deka Pool,Kudu,Male,2003,
Deka Pool,Kudu,Male,2004,
Deka Pool,Kudu,Male,2005,
Deka Pool,Kudu,Male,2006,6
Deka Pool,Kudu,Male,2007,6
Deka Pool,Kudu,Male,2008,7
Deka Pool,Kudu,Male,2009,7
Deka Pool,Kudu,Male,2010,10
Deka Pool,Kudu,Male,2011,10
Deka Pool,Kudu,Male,2012,10
Deka Pool,Kudu,Male,2013,10
Deka Pool,Kudu,Male,2014,10
Deka Pool,Kudu,Male,2015,10
Deka Pool,Kudu,Male,2016,10
Deka Pool,Kudu,Male,2017,10
Deka Pool,Kudu,Male,2018,10
Deka Pool,Leopard,Male,2000,
Deka Pool,Leopard,Male,2001,
Deka Pool,Leopard,Male,2002,
Deka Pool,Leopard,Male,2003,
Deka Pool,Leopard,Male,2004,
Deka Pool,Leopard,Male,2005,
Deka Pool,Leopard,Male,2006,4
Deka Pool,Leopard,Male,2007,4
Deka Pool,Leopard,Male,2008,4
Deka Pool,Leopard,Male,2009,4
Deka Pool,Leopard,Male,2010,4
Deka Pool,Leopard,Male,2011,4
Deka Pool,Leopard,Male,2012,3
Deka Pool,Leopard,Male,2013,3
Deka Pool,Leopard,Male,2014,3
Deka Pool,Leopard,Male,2015,3
Deka Pool,Leopard,Male,2016,3
Deka Pool,Leopard,Male,2017,3
Deka Pool,Leopard,Male,2018,3
Deka Pool,Lion,Male,2000,
Deka Pool,Lion,Male,2001,
Deka Pool,Lion,Male,2002,
Deka Pool,Lion,Male,2003,
Deka Pool,Lion,Male,2004,
Deka Pool,Lion,Male,2005,
Deka Pool,Lion,Male,2006,0
Deka Pool,Lion,Male,2007,0
Deka Pool,Lion,Male,2008,0
Deka Pool,Lion,Male,2009,0
Deka Pool,Lion,Male,2010,0
Deka Pool,Lion,Male,2011,0
Deka Pool,Lion,Male,2012,0
Deka Pool,Lion,Male,2013,0
Deka Pool,Lion,Male,2014,1
Deka Pool,Lion,Male,2015,1
Deka Pool,Lion,Male,2016,1
Deka Pool,Lion,Male,2017,1
Deka Pool,Lion,Male,2018,1
Deka Pool,Pigeons/Doves,Either,2000,
Deka Pool,Pigeons/Doves,Either,2001,
Deka Pool,Pigeons/Doves,Either,2002,
Deka Pool,Pigeons/Doves,Either,2003,
Deka Pool,Pigeons/Doves,Either,2004,
Deka Pool,Pigeons/Doves,Either,2005,
Deka Pool,Pigeons/Doves,Either,2006,150
Deka Pool,Pigeons/Doves,Either,2007,150
Deka Pool,Pigeons/Doves,Either,2008,150
Deka Pool,Pigeons/Doves,Either,2009,150
Deka Pool,Pigeons/Doves,Either,2010,150
Deka Pool,Pigeons/Doves,Either,2011,150
Deka Pool,Pigeons/Doves,Either,2012,150
Deka Pool,Pigeons/Doves,Either,2013,150
Deka Pool,Pigeons/Doves,Either,2014,150
Deka Pool,Pigeons/Doves,Either,2015,150
Deka Pool,Pigeons/Doves,Either,2016,150
Deka Pool,Pigeons/Doves,Either,2017,150
Deka Pool,Pigeons/Doves,Either,2018,150
Deka Pool,Porcupine,Either,2000,
Deka Pool,Porcupine,Either,2001,
Deka Pool,Porcupine,Either,2002,
Deka Pool,Porcupine,Either,2003,
Deka Pool,Porcupine,Either,2004,
Deka Pool,Porcupine,Either,2005,
Deka Pool,Porcupine,Either,2006,2
Deka Pool,Porcupine,Either,2007,2
Deka Pool,Porcupine,Either,2008,2
Deka Pool,Porcupine,Either,2009,2
Deka Pool,Porcupine,Either,2010,2
Deka Pool,Porcupine,Either,2011,2
Deka Pool,Porcupine,Either,2012,2
Deka Pool,Porcupine,Either,2013,2
Deka Pool,Porcupine,Either,2014,2
Deka Pool,Porcupine,Either,2015,2
Deka Pool,Porcupine,Either,2016,2
Deka Pool,Porcupine,Either,2017,2
Deka Pool,Porcupine,Either,2018,2
Deka Pool,Spotted hyaena,Either,2000,
Deka Pool,Spotted hyaena,Either,2001,
Deka Pool,Spotted hyaena,Either,2002,
Deka Pool,Spotted hyaena,Either,2003,
Deka Pool,Spotted hyaena,Either,2004,
Deka Pool,Spotted hyaena,Either,2005,
Deka Pool,Spotted hyaena,Either,2006,10
Deka Pool,Spotted hyaena,Either,2007,10
Deka Pool,Spotted hyaena,Either,2008,10
Deka Pool,Spotted hyaena,Either,2009,10
Deka Pool,Spotted hyaena,Either,2010,10
Deka Pool,Spotted hyaena,Either,2011,10
Deka Pool,Spotted hyaena,Either,2012,10
Deka Pool,Spotted hyaena,Either,2013,10
Deka Pool,Spotted hyaena,Either,2014,10
Deka Pool,Spotted hyaena,Either,2015,10
Deka Pool,Spotted hyaena,Either,2016,10
Deka Pool,Spotted hyaena,Either,2017,10
Deka Pool,Spotted hyaena,Either,2018,10
Deka Pool,Sable,Male,2000,
Deka Pool,Sable,Male,2001,
Deka Pool,Sable,Male,2002,
Deka Pool,Sable,Male,2003,
Deka Pool,Sable,Male,2004,
Deka Pool,Sable,Male,2005,
Deka Pool,Sable,Male,2006,1
Deka Pool,Sable,Male,2007,1
Deka Pool,Sable,Male,2008,1
Deka Pool,Sable,Male,2009,1
Deka Pool,Sable,Male,2010,4
Deka Pool,Sable,Male,2011,4
Deka Pool,Sable,Male,2012,4
Deka Pool,Sable,Male,2013,4
Deka Pool,Sable,Male,2014,4
Deka Pool,Sable,Male,2015,4
Deka Pool,Sable,Male,2016,2
Deka Pool,Sable,Male,2017,1
Deka Pool,Sable,Male,2018,1
Deka Pool,Sandgrouse,Either,2000,
Deka Pool,Sandgrouse,Either,2001,
Deka Pool,Sandgrouse,Either,2002,
Deka Pool,Sandgrouse,Either,2003,
Deka Pool,Sandgrouse,Either,2004,
Deka Pool,Sandgrouse,Either,2005,
Deka Pool,Sandgrouse,Either,2006,50
Deka Pool,Sandgrouse,Either,2007,50
Deka Pool,Sandgrouse,Either,2008,50
Deka Pool,Sandgrouse,Either,2009,50
Deka Pool,Sandgrouse,Either,2010,50
Deka Pool,Sandgrouse,Either,2011,50
Deka Pool,Sandgrouse,Either,2012,50
Deka Pool,Sandgrouse,Either,2013,50
Deka Pool,Sandgrouse,Either,2014,50
Deka Pool,Sandgrouse,Either,2015,50
Deka Pool,Sandgrouse,Either,2016,50
Deka Pool,Sandgrouse,Either,2017,50
Deka Pool,Sandgrouse,Either,2018,50
Deka Pool,Serval,Either,2000,
Deka Pool,Serval,Either,2001,
Deka Pool,Serval,Either,2002,
Deka Pool,Serval,Either,2003,
Deka Pool,Serval,Either,2004,
Deka Pool,Serval,Either,2005,
Deka Pool,Serval,Either,2006,2
Deka Pool,Serval,Either,2007,2
Deka Pool,Serval,Either,2008,2
Deka Pool,Serval,Either,2009,2
Deka Pool,Serval,Either,2010,2
Deka Pool,Serval,Either,2011,2
Deka Pool,Serval,Either,2012,2
Deka Pool,Serval,Either,2013,2
Deka Pool,Serval,Either,2014,2
Deka Pool,Serval,Either,2015,2
Deka Pool,Serval,Either,2016,2
Deka Pool,Serval,Either,2017,2
Deka Pool,Serval,Either,2018,2
Deka Pool,Warthog,Male,2000,
Deka Pool,Warthog,Male,2001,
Deka Pool,Warthog,Male,2002,
Deka Pool,Warthog,Male,2003,
Deka Pool,Warthog,Male,2004,
Deka Pool,Warthog,Male,2005,
Deka Pool,Warthog,Male,2006,5
Deka Pool,Warthog,Male,2007,5
Deka Pool,Warthog,Male,2008,5
Deka Pool,Warthog,Male,2009,5
Deka Pool,Warthog,Male,2010,9
Deka Pool,Warthog,Male,2011,9
Deka Pool,Warthog,Male,2012,9
Deka Pool,Warthog,Male,2013,9
Deka Pool,Warthog,Male,2014,9
Deka Pool,Warthog,Male,2015,9
Deka Pool,Warthog,Male,2016,9
Deka Pool,Warthog,Male,2017,9
Deka Pool,Warthog,Male,2018,9
Deka Pool,Waterbuck,Male,2000,
Deka Pool,Waterbuck,Male,2001,
Deka Pool,Waterbuck,Male,2002,
Deka Pool,Waterbuck,Male,2003,
Deka Pool,Waterbuck,Male,2004,
Deka Pool,Waterbuck,Male,2005,
Deka Pool,Waterbuck,Male,2006,2
Deka Pool,Waterbuck,Male,2007,2
Deka Pool,Waterbuck,Male,2008,2
Deka Pool,Waterbuck,Male,2009,2
Deka Pool,Waterbuck,Male,2010,2
Deka Pool,Waterbuck,Male,2011,2
Deka Pool,Waterbuck,Male,2012,2
Deka Pool,Waterbuck,Male,2013,2
Deka Pool,Waterbuck,Male,2014,2
Deka Pool,Waterbuck,Male,2015,2
Deka Pool,Waterbuck,Male,2016,2
Deka Pool,Waterbuck,Male,2017,2
Deka Pool,Waterbuck,Male,2018,2
Deka Pool,Wildcat,Either,2000,
Deka Pool,Wildcat,Either,2001,
Deka Pool,Wildcat,Either,2002,
Deka Pool,Wildcat,Either,2003,
Deka Pool,Wildcat,Either,2004,
Deka Pool,Wildcat,Either,2005,
Deka Pool,Wildcat,Either,2006,2
Deka Pool,Wildcat,Either,2007,2
Deka Pool,Wildcat,Either,2008,2
Deka Pool,Wildcat,Either,2009,2
Deka Pool,Wildcat,Either,2010,2
Deka Pool,Wildcat,Either,2011,2
Deka Pool,Wildcat,Either,2012,2
Deka Pool,Wildcat,Either,2013,2
Deka Pool,Wildcat,Either,2014,2
Deka Pool,Wildcat,Either,2015,2
Deka Pool,Wildcat,Either,2016,2
Deka Pool,Wildcat,Either,2017,2
Deka Pool,Wildcat,Either,2018,2
Deka Pool,Zebra,Either,2000,
Deka Pool,Zebra,Either,2001,
Deka Pool,Zebra,Either,2002,
Deka Pool,Zebra,Either,2003,
Deka Pool,Zebra,Either,2004,
Deka Pool,Zebra,Either,2005,
Deka Pool,Zebra,Either,2006,6
Deka Pool,Zebra,Either,2007,6
Deka Pool,Zebra,Either,2008,6
Deka Pool,Zebra,Either,2009,6
Deka Pool,Zebra,Either,2010,8
Deka Pool,Zebra,Either,2011,8
Deka Pool,Zebra,Either,2012,8
Deka Pool,Zebra,Either,2013,8
Deka Pool,Zebra,Either,2014,8
Deka Pool,Zebra,Either,2015,8
Deka Pool,Zebra,Either,2016,8
Deka Pool,Zebra,Either,2017,8
Deka Pool,Zebra,Either,2018,8
Deka Tail,Baboon,Male,2000,
Deka Tail,Baboon,Male,2001,
Deka Tail,Baboon,Male,2002,
Deka Tail,Baboon,Male,2003,
Deka Tail,Baboon,Male,2004,
Deka Tail,Baboon,Male,2005,
Deka Tail,Baboon,Male,2006,
Deka Tail,Baboon,Male,2007,45
Deka Tail,Baboon,Male,2008,45
Deka Tail,Baboon,Male,2009,45
Deka Tail,Baboon,Male,2010,45
Deka Tail,Baboon,Male,2011,45
Deka Tail,Baboon,Male,2012,45
Deka Tail,Baboon,Male,2013,45
Deka Tail,Baboon,Male,2014,20
Deka Tail,Baboon,Male,2015,20
Deka Tail,Baboon,Male,2016,20
Deka Tail,Baboon,Male,2017,20
Deka Tail,Baboon,Male,2018,20
Deka Tail,Buffalo,Female,2000,
Deka Tail,Buffalo,Female,2001,
Deka Tail,Buffalo,Female,2002,
Deka Tail,Buffalo,Female,2003,
Deka Tail,Buffalo,Female,2004,
Deka Tail,Buffalo,Female,2005,
Deka Tail,Buffalo,Female,2006,
Deka Tail,Buffalo,Female,2007,4
Deka Tail,Buffalo,Female,2008,4
Deka Tail,Buffalo,Female,2009,4
Deka Tail,Buffalo,Female,2010,4
Deka Tail,Buffalo,Female,2011,0
Deka Tail,Buffalo,Female,2012,0
Deka Tail,Buffalo,Female,2013,0
Deka Tail,Buffalo,Female,2014,0
Deka Tail,Buffalo,Female,2015,0
Deka Tail,Buffalo,Female,2016,0
Deka Tail,Buffalo,Female,2017,0
Deka Tail,Buffalo,Female,2018,0
Deka Tail,Buffalo,Male,2000,
Deka Tail,Buffalo,Male,2001,
Deka Tail,Buffalo,Male,2002,
Deka Tail,Buffalo,Male,2003,
Deka Tail,Buffalo,Male,2004,
Deka Tail,Buffalo,Male,2005,
Deka Tail,Buffalo,Male,2006,
Deka Tail,Buffalo,Male,2007,8
Deka Tail,Buffalo,Male,2008,8
Deka Tail,Buffalo,Male,2009,8
Deka Tail,Buffalo,Male,2010,8
Deka Tail,Buffalo,Male,2011,8
Deka Tail,Buffalo,Male,2012,8
Deka Tail,Buffalo,Male,2013,8
Deka Tail,Buffalo,Male,2014,6
Deka Tail,Buffalo,Male,2015,6
Deka Tail,Buffalo,Male,2016,6
Deka Tail,Buffalo,Male,2017,6
Deka Tail,Buffalo,Male,2018,6
Deka Tail,Bushbuck,Male,2000,
Deka Tail,Bushbuck,Male,2001,
Deka Tail,Bushbuck,Male,2002,
Deka Tail,Bushbuck,Male,2003,
