"","Species","Block","Sex","Year","Quota","Adult.Body.Mass.Kg","quota_weight"
"320","Buffalo","Matetsi 6","Male",2014,14,646.33299,9048.66186
"321","Buffalo","Kazuma","Female",2004,4,646.33299,2585.33196
"322","Buffalo","Fuller","Female",2014,0,646.33299,0
"323","Buffalo","Matetsi 1","Female",2015,0,646.33299,0
"324","Buffalo","Matetsi 4","Female",2015,0,646.33299,0
"325","Buffalo","Matetsi 4","Female",2017,0,646.33299,0
"326","Buffalo","Ngamo & Sikumi","Male",2000,15,646.33299,9694.99485
"327","Buffalo","Hwange 1","Male",2011,4,646.33299,2585.33196
"328","Buffalo","Hwange 1","Male",2012,4,646.33299,2585.33196
"329","Buffalo","Hwange 1","Male",2013,4,646.33299,2585.33196
"330","Buffalo","Kazuma","Male",2007,16,646.33299,10341.32784
"331","Buffalo","Matetsi 5","Female",2010,NA,646.33299,NA
"332","Buffalo","Hwange 2","Female",2015,0,646.33299,0
"333","Buffalo","Matetsi 2","Female",2005,NA,646.33299,NA
"334","Buffalo","Matetsi 2","Female",2006,3,646.33299,1938.99897
"335","Buffalo","Matetsi 3","Female",2015,0,646.33299,0
"336","Buffalo","Matetsi 4","Male",2017,10,646.33299,6463.3299
"337","Buffalo","Matetsi 4","Female",2001,NA,646.33299,NA
"338","Buffalo","Matetsi 4","Female",2000,NA,646.33299,NA
"339","Buffalo","Ngamo & Sikumi","Female",2014,2,646.33299,1292.66598
"340","Buffalo","Kazuma","Female",2006,3,646.33299,1938.99897
"341","Buffalo","Kazuma","Female",2007,3,646.33299,1938.99897
"342","Buffalo","Ngamo & Sikumi","Female",2006,8,646.33299,5170.66392
"343","Buffalo","Ngamo & Sikumi","Female",2008,8,646.33299,5170.66392
"344","Buffalo","Matetsi 1","Female",2013,0,646.33299,0
"345","Buffalo","Matetsi 1","Female",2014,0,646.33299,0
"346","Buffalo","Fuller","Female",2018,0,646.33299,0
"347","Buffalo","Deka Tail","Female",2000,NA,646.33299,NA
"348","Buffalo","Matetsi 3","Male",2010,13,646.33299,8402.32887
"349","Buffalo","Matetsi 3","Male",2011,13,646.33299,8402.32887
"350","Buffalo","Ngamo & Sikumi","Female",2012,8,646.33299,5170.66392
"351","Buffalo","Matetsi 5","Male",2003,NA,646.33299,NA
"352","Buffalo","Matetsi 5","Male",2004,NA,646.33299,NA
"353","Buffalo","Ngamo & Sikumi","Male",2014,20,646.33299,12926.6598
"354","Buffalo","Fuller","Female",2016,0,646.33299,0
"355","Buffalo","Hwange 2","Male",2010,3,646.33299,1938.99897
"356","Buffalo","Hwange 2","Male",2011,3,646.33299,1938.99897
"357","Buffalo","Ngamo & Sikumi","Male",2015,20,646.33299,12926.6598
"358","Buffalo","Deka Tail","Male",2018,6,646.33299,3877.99794
"359","Buffalo","Deka Tail","Female",2001,NA,646.33299,NA
"360","Buffalo","Ngamo & Sikumi","Male",2010,20,646.33299,12926.6598
"361","Buffalo","Fuller","Male",2017,0,646.33299,0
"362","Buffalo","Matetsi 2","Male",2011,10,646.33299,6463.3299
"363","Buffalo","Deka Pool","Female",2016,0,646.33299,0
"364","Buffalo","Matetsi 3","Female",2014,0,646.33299,0
"365","Buffalo","Matetsi 4","Male",2018,10,646.33299,6463.3299
"366","Buffalo","Matetsi 2","Male",2014,12,646.33299,7755.99588
"367","Buffalo","Deka Pool","Female",2006,2,646.33299,1292.66598
"368","Buffalo","Deka Pool","Female",2007,2,646.33299,1292.66598
"369","Buffalo","Matetsi 4","Male",2012,11,646.33299,7109.66289
"370","Buffalo","Fuller","Male",2015,6,646.33299,3877.99794
"371","Buffalo","Ngamo & Sikumi","Female",2010,8,646.33299,5170.66392
"372","Buffalo","Matetsi 5","Female",2018,0,646.33299,0
"373","Buffalo","Matetsi 6","Male",2013,14,646.33299,9048.66186
"374","Buffalo","Hwange 2","Male",2003,NA,646.33299,NA
"375","Buffalo","Fuller","Female",2011,2,646.33299,1292.66598
"376","Buffalo","Fuller","Female",2012,0,646.33299,0
"377","Buffalo","Matetsi 4","Female",2014,0,646.33299,0
"378","Buffalo","Matetsi 4","Female",2013,0,646.33299,0
"379","Buffalo","Matetsi 4","Female",2016,0,646.33299,0
"380","Buffalo","Matetsi 4","Female",2003,NA,646.33299,NA
"381","Buffalo","Kazuma","Male",2009,16,646.33299,10341.32784
"382","Buffalo","Hwange 1","Female",2004,NA,646.33299,NA
"383","Buffalo","Hwange 1","Female",2005,NA,646.33299,NA
"384","Buffalo","Fuller","Male",2014,6,646.33299,3877.99794
"385","Buffalo","Fuller","Male",2016,3,646.33299,1938.99897
"386","Buffalo","Hwange 2","Male",2002,NA,646.33299,NA
"387","Buffalo","Matetsi 2","Male",2010,12,646.33299,7755.99588
"388","Buffalo","Hwange 1","Male",2018,2,646.33299,1292.66598
"389","Buffalo","Hwange 1","Male",2017,2,646.33299,1292.66598
"390","Buffalo","Matetsi 4","Male",2016,10,646.33299,6463.3299
"391","Buffalo","Matetsi 4","Male",2015,10,646.33299,6463.3299
"392","Buffalo","Fuller","Female",2007,2,646.33299,1292.66598
"393","Buffalo","Matetsi 5","Male",2006,NA,646.33299,NA
"394","Buffalo","Hwange 1","Female",2015,0,646.33299,0
"395","Buffalo","Ngamo & Sikumi","Male",2012,20,646.33299,12926.6598
"396","Buffalo","Kazuma","Female",2016,0,646.33299,0
"397","Buffalo","Hwange 2","Female",2018,0,646.33299,0
"398","Buffalo","Matetsi 5","Female",2017,0,646.33299,0
"399","Buffalo","Matetsi 4","Male",2014,12,646.33299,7755.99588
"400","Buffalo","Hwange 2","Male",2001,NA,646.33299,NA
