"","year","country","land_use_tenure","lu_detail","lc_class","description","area_km2"
"3075",2014,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",225.27115776
"3076",1996,"BW","Wildlife (State)","Wildlife","60","Woodland",105.83629056
"3077",2004,"ZW","Wildlife (State)","Wildlife","60","Woodland",314.9144064
"3078",2002,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",66.6509184
"3079",1994,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",1.87875072
"3080",2010,"ZW","Forest (State)","Forestry","60","Woodland",47.23716096
"3081",2002,"BW","Wildlife (State)","Wildlife","60","Woodland",0.4473216
"3082",1995,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",15.74572032
"3083",2015,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",75.86574336
"3084",2002,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.17892864
"3085",1996,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",222.13990656
"3086",2016,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",19.86107904
"3087",1995,"ZW","Mixed (Private)","Arable/pastoral/built/mining","60","Woodland",113.26182912
"3088",2018,"ZW","Wildlife (Private)","Wildlife","60","Woodland",10.82518272
"3089",2000,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",1.87875072
"3090",2003,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",41.6009088
"3091",1994,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.26839296
"3092",2016,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",45.00055296
"3093",2017,"BW","Forest (State)","Forestry","60","Woodland",0.17892864
"3094",2000,"BW","Forest (State)","Forestry","60","Woodland",0.17892864
"3095",2005,"ZW","Wildlife (State)","Wildlife","60","Woodland",315.09333504
"3096",1994,"ZW","Wildlife (Communal)","Wildlife","60","Woodland",179.01810432
"3097",2007,"ZW","Forest (State)","Forestry","60","Woodland",63.16180992
"3098",2000,"BW","Forest (State)","Forestry","60","Woodland",114.24593664
"3099",2012,"ZW","Wildlife (Private)","Wildlife","60","Woodland",10.82518272
"3100",2003,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",65.84573952
"3101",1993,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",222.13990656
"3102",2005,"BW","Wildlife (State)","Wildlife","60","Woodland",105.74682624
"3103",2005,"ZW","Forest (State)","Forestry","60","Woodland",47.59501824
"3104",2017,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",20.48732928
"3105",2007,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",1.87875072
"3106",2011,"BW","Wildlife (State)","Wildlife","60","Woodland",0.4473216
"3107",2013,"ZW","Wildlife (Communal)","Wildlife","60","Woodland",196.64257536
"3108",2012,"ZW","Forest (State)","Forestry","60","Woodland",63.78806016
"3109",1996,"ZW","Mixed (Private)","Arable/pastoral/built/mining","60","Woodland",111.56200704
"3110",2018,"ZW","Forest (State)","Forestry","60","Woodland",0.08946432
"3111",2014,"BW","Wildlife (State)","Wildlife","60","Woodland",0.4473216
"3112",2016,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",224.64490752
"3113",2014,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",1.87875072
"3114",2009,"BW","Commercial Agriculture (Private)","Commercial Agriculture","60","Woodland",98.14235904
"3115",1998,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",78.28128
"3116",2000,"BW","Wildlife (State)","Wildlife","60","Woodland",0.4473216
"3117",2003,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",74.7027072
"3118",2016,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",76.31306496
"3119",2017,"BW","Wildlife (State)","Wildlife","60","Woodland",0.08946432
"3120",2017,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",78.37074432
