"","year","country","land_use","class","description","area"
"3248",1993,"BW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",770.37725952
"3258",1993,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",1.07357184
"3422",1993,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",184.20703488
"3430",1993,"BW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",52.87341312
"74",1994,"BW","Other Land","10","Crop rainfed",0.80517888
"91",1994,"BW","Forest Reserve","10","Crop rainfed",57.97287936
"146",1994,"BW","National Park","10","Crop rainfed",6.2625024
"326",1994,"BW","Safari Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",0.08946432
"403",1994,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",59.40430848
"461",1994,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",79.35485184
"484",1994,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",420.57176832
"731",1994,"BW","Other Land","11","Crop rainfed - herbaceous cover",2.59446528
"742",1994,"BW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",50.27894784
"820",1994,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",104.40486144
"893",1994,"BW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",25.31840256
"1010",1994,"BW","Forest Reserve","120","Shrubland",1185.49170432
"1068",1994,"BW","National Park","120","Shrubland",187.60667904
"1145",1994,"BW","Other Land","120","Shrubland",1720.57780224
"1163",1994,"BW","Safari Area","120","Shrubland",2.59446528
"1326",1994,"BW","National Park","120","Shrubland",0.62625024
"1391",1994,"BW","Forest Reserve","122","Shrubland deciduous",0.17892864
"1428",1994,"BW","Other Land","122","Shrubland deciduous",2.41553664
"1617",1994,"BW","National Park","130","Grassland",5.3678592
"1688",1994,"BW","Forest Reserve","130","Grassland",29.075904
"1807",1994,"BW","Other Land","130","Grassland",173.65024512
"1913",1994,"BW","National Park","130","Grassland",0.08946432
"2007",1994,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",3.1312512
"2116",1994,"BW","Other Land","200","Bare areas",66.38252544
"2325",1994,"BW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",2.05767936
"2415",1994,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",6.35196672
"2429",1994,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",58.42020096
"2606",1994,"BW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.75750144
"2629",1994,"BW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.22071552
"2711",1994,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",37.03822848
"2850",1994,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",8.32018176
"2868",1994,"BW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",1.16303616
"2943",1994,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",11.80929024
"3156",1994,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",1.07357184
"3164",1994,"BW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",770.37725952
"3259",1994,"BW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",52.87341312
"3309",1994,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",184.20703488
"208",1995,"BW","Forest Reserve","10","Crop rainfed",57.97287936
"223",1995,"BW","National Park","10","Crop rainfed",6.2625024
"235",1995,"BW","Other Land","10","Crop rainfed",0.80517888
"375",1995,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",79.35485184
"407",1995,"BW","Safari Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",0.08946432
"479",1995,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",59.40430848
"497",1995,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",420.57176832
"661",1995,"BW","Other Land","11","Crop rainfed - herbaceous cover",2.59446528
"751",1995,"BW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",25.31840256
"913",1995,"BW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",50.27894784
"956",1995,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",104.40486144
"1004",1995,"BW","National Park","120","Shrubland",0.62625024
"1165",1995,"BW","Safari Area","120","Shrubland",2.59446528
"1199",1995,"BW","Forest Reserve","120","Shrubland",1185.49170432
"1241",1995,"BW","National Park","120","Shrubland",187.60667904
"1330",1995,"BW","Other Land","120","Shrubland",1720.57780224
"1483",1995,"BW","Forest Reserve","122","Shrubland deciduous",0.17892864
"1562",1995,"BW","Other Land","122","Shrubland deciduous",2.41553664
"1626",1995,"BW","National Park","130","Grassland",0.08946432
"1725",1995,"BW","Forest Reserve","130","Grassland",29.075904
"1728",1995,"BW","National Park","130","Grassland",5.3678592
"1752",1995,"BW","Other Land","130","Grassland",173.65024512
"1939",1995,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",3.1312512
"2112",1995,"BW","Other Land","200","Bare areas",66.38252544
"2468",1995,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",58.42020096
"2483",1995,"BW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",2.05767936
"2494",1995,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",6.35196672
"2581",1995,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",37.03822848
"2765",1995,"BW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.75750144
"2768",1995,"BW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.22071552
"2972",1995,"BW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",1.16303616
"2983",1995,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",11.80929024
"3064",1995,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",8.32018176
"3226",1995,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",184.20703488
"3321",1995,"BW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",770.37725952
"3336",1995,"BW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",52.87341312
"3440",1995,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",1.07357184
"2",1996,"BW","Forest Reserve","10","Crop rainfed",57.97287936
"17",1996,"BW","National Park","10","Crop rainfed",6.2625024
"26",1996,"BW","Other Land","10","Crop rainfed",0.80517888
"290",1996,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",79.35485184
"315",1996,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",59.40430848
"338",1996,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",421.28748288
"445",1996,"BW","Safari Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",0.08946432
"581",1996,"BW","Other Land","11","Crop rainfed - herbaceous cover",2.59446528
"782",1996,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",104.40486144
"788",1996,"BW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",50.27894784
"841",1996,"BW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",25.31840256
"997",1996,"BW","Safari Area","120","Shrubland",2.59446528
"1046",1996,"BW","National Park","120","Shrubland",187.60667904
"1195",1996,"BW","Forest Reserve","120","Shrubland",1185.49170432
"1266",1996,"BW","National Park","120","Shrubland",0.62625024
"1335",1996,"BW","Other Land","120","Shrubland",1720.57780224
"1448",1996,"BW","Forest Reserve","122","Shrubland deciduous",0.17892864
"1607",1996,"BW","Other Land","122","Shrubland deciduous",2.41553664
"1646",1996,"BW","National Park","130","Grassland",0.08946432
"1776",1996,"BW","National Park","130","Grassland",5.3678592
"1826",1996,"BW","Other Land","130","Grassland",173.65024512
"1832",1996,"BW","Forest Reserve","130","Grassland",29.075904
"1987",1996,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",3.1312512
"2137",1996,"BW","Other Land","200","Bare areas",66.38252544
"2275",1996,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",58.42020096
"2298",1996,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",6.35196672
"2396",1996,"BW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",2.05767936
"2562",1996,"BW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.22071552
"2707",1996,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",35.785728
"2777",1996,"BW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.75750144
"2830",1996,"BW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",1.16303616
"2955",1996,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",8.32018176
"3018",1996,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",12.16714752
"3114",1996,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",1.07357184
"3193",1996,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",184.38596352
"3251",1996,"BW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",52.87341312
"3443",1996,"BW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",770.37725952
"39",1997,"BW","Forest Reserve","10","Crop rainfed",57.97287936
"63",1997,"BW","Other Land","10","Crop rainfed",0.80517888
"239",1997,"BW","National Park","10","Crop rainfed",6.2625024
"258",1997,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",421.28748288
"320",1997,"BW","Safari Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",0.08946432
"411",1997,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",79.35485184
"485",1997,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",59.40430848
"626",1997,"BW","Other Land","11","Crop rainfed - herbaceous cover",2.59446528
"768",1997,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",104.40486144
"786",1997,"BW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",25.31840256
"863",1997,"BW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",50.27894784
"1005",1997,"BW","Other Land","120","Shrubland",1720.48833792
"1107",1997,"BW","Forest Reserve","120","Shrubland",1185.49170432
"1116",1997,"BW","Safari Area","120","Shrubland",2.59446528
"1248",1997,"BW","National Park","120","Shrubland",187.60667904
"1327",1997,"BW","National Park","120","Shrubland",0.62625024
"1498",1997,"BW","Other Land","122","Shrubland deciduous",2.41553664
"1613",1997,"BW","Forest Reserve","122","Shrubland deciduous",0.17892864
"1633",1997,"BW","Other Land","130","Grassland",173.65024512
"1679",1997,"BW","National Park","130","Grassland",5.3678592
"1761",1997,"BW","Forest Reserve","130","Grassland",29.075904
"1833",1997,"BW","National Park","130","Grassland",0.08946432
"1994",1997,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",3.1312512
"2079",1997,"BW","Other Land","190","Urban areas",0.08946432
"2133",1997,"BW","Other Land","200","Bare areas",66.38252544
"2311",1997,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",58.42020096
"2337",1997,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",6.35196672
"2525",1997,"BW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",2.05767936
"2584",1997,"BW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.22071552
"2633",1997,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",35.785728
"2676",1997,"BW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.75750144
"2816",1997,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",12.16714752
"2909",1997,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",8.32018176
"3031",1997,"BW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",1.16303616
"3126",1997,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",184.38596352
"3272",1997,"BW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",770.37725952
