"","year","country","land_use","class","description","area"
"3303",2013,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",1.16303616
"3379",2013,"BW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",53.678592
"3428",2013,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",207.46775808
"124",2014,"BW","Other Land","10","Crop rainfed",1.25250048
"155",2014,"BW","National Park","10","Crop rainfed",6.35196672
"180",2014,"BW","Forest Reserve","10","Crop rainfed",58.24127232
"386",2014,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",87.49610496
"396",2014,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",586.52808192
"493",2014,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",59.0464512
"576",2014,"BW","Forest Reserve","11","Crop rainfed - herbaceous cover",0.08946432
"703",2014,"BW","Other Land","11","Crop rainfed - herbaceous cover",2.95232256
"799",2014,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",61.10413056
"858",2014,"BW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",18.51911424
"885",2014,"BW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",18.7875072
"1012",2014,"BW","Other Land","120","Shrubland",1583.78685696
"1175",2014,"BW","Safari Area","120","Shrubland",2.59446528
"1253",2014,"BW","National Park","120","Shrubland",185.45953536
"1256",2014,"BW","National Park","120","Shrubland",0.62625024
"1279",2014,"BW","Forest Reserve","120","Shrubland",1169.92491264
"1423",2014,"BW","Other Land","122","Shrubland deciduous",2.41553664
"1538",2014,"BW","Forest Reserve","122","Shrubland deciduous",0.17892864
"1675",2014,"BW","National Park","130","Grassland",0.08946432
"1683",2014,"BW","Other Land","130","Grassland",154.325952
"1709",2014,"BW","National Park","130","Grassland",5.3678592
"1739",2014,"BW","Forest Reserve","130","Grassland",28.98643968
"1952",2014,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",3.1312512
"2036",2014,"BW","Other Land","190","Urban areas",0.17892864
"2100",2014,"BW","National Park","200","Bare areas",0.35785728
"2114",2014,"BW","Other Land","200","Bare areas",65.7562752
"2273",2014,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",5.01000192
"2318",2014,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",57.7044864
"2454",2014,"BW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",1.7892864
"2740",2014,"BW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.22071552
"2767",2014,"BW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.84696576
"2776",2014,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",29.61268992
"2861",2014,"BW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",0.98410752
"2925",2014,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",29.70215424
"2969",2014,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",26.92876032
"3136",2014,"BW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",53.678592
"3144",2014,"BW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",799.54262784
"3359",2014,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",208.18347264
"3445",2014,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",1.16303616
"15",2015,"BW","Forest Reserve","10","Crop rainfed",58.24127232
"30",2015,"BW","National Park","10","Crop rainfed",6.35196672
"40",2015,"BW","Other Land","10","Crop rainfed",1.25250048
"313",2015,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",87.49610496
"409",2015,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",59.0464512
"436",2015,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",586.52808192
"689",2015,"BW","Forest Reserve","11","Crop rainfed - herbaceous cover",0.08946432
"738",2015,"BW","Other Land","11","Crop rainfed - herbaceous cover",2.95232256
"775",2015,"BW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",18.7875072
"855",2015,"BW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",18.51911424
"952",2015,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",61.10413056
"1030",2015,"BW","National Park","120","Shrubland",185.45953536
"1131",2015,"BW","Safari Area","120","Shrubland",2.59446528
"1139",2015,"BW","Forest Reserve","120","Shrubland",1169.92491264
"1283",2015,"BW","National Park","120","Shrubland",0.62625024
"1315",2015,"BW","Other Land","120","Shrubland",1583.78685696
"1409",2015,"BW","Forest Reserve","122","Shrubland deciduous",0.17892864
"1548",2015,"BW","Other Land","122","Shrubland deciduous",2.41553664
"1695",2015,"BW","Forest Reserve","130","Grassland",28.98643968
"1780",2015,"BW","National Park","130","Grassland",5.3678592
"1809",2015,"BW","National Park","130","Grassland",0.08946432
"1844",2015,"BW","Other Land","130","Grassland",154.325952
"1934",2015,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",3.1312512
"2047",2015,"BW","Other Land","190","Urban areas",0.17892864
"2125",2015,"BW","Other Land","200","Bare areas",65.7562752
"2139",2015,"BW","National Park","200","Bare areas",0.35785728
"2313",2015,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",5.01000192
"2449",2015,"BW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",1.7892864
"2504",2015,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",57.7044864
"2569",2015,"BW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.84696576
"2665",2015,"BW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.22071552
"2760",2015,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",29.61268992
"2828",2015,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",29.70215424
"2901",2015,"BW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",0.98410752
"3009",2015,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",26.92876032
"3106",2015,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",1.16303616
"3143",2015,"BW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",53.678592
"3334",2015,"BW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",799.54262784
"3439",2015,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",208.18347264
"54",2016,"BW","Forest Reserve","10","Crop rainfed",58.24127232
"69",2016,"BW","National Park","10","Crop rainfed",6.35196672
"79",2016,"BW","Other Land","10","Crop rainfed",1.25250048
"449",2016,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",59.31484416
"466",2016,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",86.86985472
"520",2016,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",588.94361856
"578",2016,"BW","Forest Reserve","11","Crop rainfed - herbaceous cover",0.08946432
"700",2016,"BW","Other Land","11","Crop rainfed - herbaceous cover",2.77339392
"784",2016,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",58.33073664
"881",2016,"BW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",18.25072128
"914",2016,"BW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",16.72982784
"1057",2016,"BW","Forest Reserve","120","Shrubland",1169.38812672
"1130",2016,"BW","National Park","120","Shrubland",0.62625024
"1213",2016,"BW","Safari Area","120","Shrubland",2.59446528
"1234",2016,"BW","Other Land","120","Shrubland",1582.6238208
"1322",2016,"BW","National Park","120","Shrubland",187.875072
"1399",2016,"BW","Forest Reserve","122","Shrubland deciduous",0.17892864
"1517",2016,"BW","Other Land","122","Shrubland deciduous",2.41553664
"1655",2016,"BW","Forest Reserve","130","Grassland",28.1812608
"1659",2016,"BW","National Park","130","Grassland",0.08946432
"1873",2016,"BW","Other Land","130","Grassland",147.25827072
"1874",2016,"BW","National Park","130","Grassland",5.27839488
"1931",2016,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",3.1312512
"2053",2016,"BW","Other Land","190","Urban areas",0.17892864
"2080",2016,"BW","Other Land","200","Bare areas",65.66681088
"2090",2016,"BW","National Park","200","Bare areas",0.35785728
"2350",2016,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",4.74160896
"2434",2016,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",57.7044864
"2451",2016,"BW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",1.7892864
"2603",2016,"BW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",2.95232256
"2608",2016,"BW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.84696576
"2704",2016,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",29.075904
"2856",2016,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",35.3384064
"2927",2016,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",27.10768896
"3079",2016,"BW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",0.98410752
"3292",2016,"BW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",801.33191424
"3305",2016,"BW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",54.03644928
"3340",2016,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",1.16303616
"3357",2016,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",212.20936704
"53",2017,"BW","Forest Reserve","10","Crop rainfed",53.76805632
"97",2017,"BW","Safari Area","10","Crop rainfed",6.97821696
"119",2017,"BW","Other Land","10","Crop rainfed",1.16303616
"224",2017,"BW","Other Land","10","Crop rainfed",228.67080192
"236",2017,"BW","National Park","10","Crop rainfed",5.90464512
"285",2017,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",2.05767936
"421",2017,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",75.50788608
"488",2017,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",65.66681088
"489",2017,"BW","Safari Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",11.18304
"503",2017,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",95.63735808
"550",2017,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",605.76291072
"561",2017,"BW","Forest Reserve","11","Crop rainfed - herbaceous cover",0.08946432
"649",2017,"BW","Safari Area","11","Crop rainfed - herbaceous cover",3.75750144
"667",2017,"BW","Other Land","11","Crop rainfed - herbaceous cover",2.6839296
"717",2017,"BW","Other Land","11","Crop rainfed - herbaceous cover",154.14702336
"880",2017,"BW","Safari Area","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",7.42553856
"943",2017,"BW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",16.5508992
"980",2017,"BW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",18.07179264
"990",2017,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",15.29839872
"991",2017,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",57.88341504
"1050",2017,"BW","Safari Area","120","Shrubland",2.41553664
"1073",2017,"BW","Safari Area","120","Shrubland",2528.79846912
"1192",2017,"BW","Other Land","120","Shrubland",18.69804288
"1250",2017,"BW","National Park","120","Shrubland",0.62625024
"1262",2017,"BW","National Park","120","Shrubland",175.3500672
"1287",2017,"BW","Forest Reserve","120","Shrubland",1151.31633408
"1312",2017,"BW","Other Land","120","Shrubland",1555.7845248
"1348",2017,"BW","Other Land","120","Shrubland",2458.56897792
"1477",2017,"BW","Other Land","122","Shrubland deciduous",0.08946432
"1490",2017,"BW","Forest Reserve","122","Shrubland deciduous",0.08946432
"1533",2017,"BW","Safari Area","122","Shrubland deciduous",3.93643008
"1545",2017,"BW","Other Land","122","Shrubland deciduous",29.70215424
"1594",2017,"BW","Other Land","122","Shrubland deciduous",2.41553664
"1660",2017,"BW","Safari Area","130","Grassland",9.75161088
"1721",2017,"BW","Other Land","130","Grassland",144.75326976
"1735",2017,"BW","National Park","130","Grassland",0.08946432
"1750",2017,"BW","Other Land","130","Grassland",5.18893056
"1816",2017,"BW","Forest Reserve","130","Grassland",27.2866176
"1875",2017,"BW","National Park","130","Grassland",5.27839488
"1937",2017,"BW","Safari Area","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",0.35785728
"1944",2017,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",3.1312512
"1993",2017,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",1.07357184
"2050",2017,"BW","Other Land","190","Urban areas",26.21304576
"2052",2017,"BW","Other Land","190","Urban areas",0.17892864
"2097",2017,"BW","National Park","200","Bare areas",0.35785728
"2111",2017,"BW","Other Land","200","Bare areas",65.66681088
"2141",2017,"BW","Other Land","200","Bare areas",6.709824
"2153",2017,"BW","Safari Area","210","Water bodies",0.17892864
"2246",2017,"BW","Other Land","210","Water bodies",1.16303616
"2369",2017,"BW","Safari Area","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",3.5785728
"2378",2017,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",4.74160896
"2393",2017,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",57.43609344
"2521",2017,"BW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",1.7892864
"2548",2017,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",15.29839872
"2566",2017,"BW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.75750144
"2624",2017,"BW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",2.41553664
"2628",2017,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",1.3419648
"2636",2017,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",27.55501056
"2697",2017,"BW","Safari Area","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",2.05767936
"2852",2017,"BW","Safari Area","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",0.17892864
"2950",2017,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",50.01055488
"2965",2017,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",44.82162432
"2968",2017,"BW","Safari Area","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",71.66092032
"2981",2017,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",513.25680384
"3080",2017,"BW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",5.90464512
"3120",2017,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",212.20936704
"3182",2017,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",326.45530368
"3217",2017,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",1.16303616
"3249",2017,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",0.08946432
"3294",2017,"BW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",801.33191424
"3307",2017,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",620.70345216
"3423",2017,"BW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",54.03644928
"14",2018,"BW","Forest Reserve","10","Crop rainfed",53.49966336
"28",2018,"BW","State Forest","10","Crop rainfed",3.31017984
"52",2018,"BW","National Park","10","Crop rainfed",314.37762048
"65",2018,"BW","Safari Area","10","Crop rainfed",6.97821696
"78",2018,"BW","Other Land","10","Crop rainfed",228.67080192
"128",2018,"BW","Forest Reserve","10","Crop rainfed",0.26839296
"150",2018,"BW","National Park","10","Crop rainfed",5.90464512
"160",2018,"BW","Wildlife Management Area","10","Crop rainfed",110.84629248
"216",2018,"BW","Other Land","10","Crop rainfed",1.16303616
"245",2018,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",0.26839296
"271",2018,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",75.06056448
"273",2018,"BW","Safari Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",11.71982592
"275",2018,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",2.14714368
"303",2018,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",105.03111168
"408",2018,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",65.66681088
"414",2018,"BW","Hunting Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",0.4473216
"431",2018,"BW","Wildlife Management Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",46.78983936
"510",2018,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",610.1466624
"535",2018,"BW","State Forest","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",2.50500096
"548",2018,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",52.87341312
"573",2018,"BW","Safari Area","11","Crop rainfed - herbaceous cover",4.0258944
"603",2018,"BW","National Park","11","Crop rainfed - herbaceous cover",14.22482688
"604",2018,"BW","Forest Reserve","11","Crop rainfed - herbaceous cover",0.08946432
"620",2018,"BW","State Forest","11","Crop rainfed - herbaceous cover",1.16303616
"659",2018,"BW","Wildlife Management Area","11","Crop rainfed - herbaceous cover",114.15647232
"666",2018,"BW","Hunting Reserve","11","Crop rainfed - herbaceous cover",0.08946432
"671",2018,"BW","Other Land","11","Crop rainfed - herbaceous cover",2.6839296
"723",2018,"BW","Other Land","11","Crop rainfed - herbaceous cover",154.50488064
"753",2018,"BW","Safari Area","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",7.42553856
"780",2018,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",15.03000576
"839",2018,"BW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",0.17892864
"866",2018,"BW","Wildlife Management Area","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",9.75161088
"934",2018,"BW","State Forest","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",0.08946432
"959",2018,"BW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",18.07179264
"970",2018,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",56.3625216
"978",2018,"BW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",3.22071552
"979",2018,"BW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",16.5508992
"1026",2018,"BW","Safari Area","120","Shrubland",2520.56775168
"1034",2018,"BW","Safari Area","120","Shrubland",2.236608
"1060",2018,"BW","Other Land","120","Shrubland",18.60857856
"1089",2018,"BW","Hunting Reserve","120","Shrubland",12.9723264
"1122",2018,"BW","National Park","120","Shrubland",2126.47742208
"1147",2018,"BW","Other Land","120","Shrubland",2454.27469056
"1149",2018,"BW","Wildlife Management Area","120","Shrubland",1766.29406976
"1206",2018,"BW","National Park","120","Shrubland",0.62625024
"1220",2018,"BW","National Park","120","Shrubland",166.67202816
"1231",2018,"BW","Other Land","120","Shrubland",1538.07058944
"1286",2018,"BW","Forest Reserve","120","Shrubland",7.24660992
"1305",2018,"BW","Forest Reserve","120","Shrubland",183.31239168
"1325",2018,"BW","Forest Reserve","120","Shrubland",1142.0120448
"1336",2018,"BW","State Forest","120","Shrubland",116.66147328
"1374",2018,"BW","Safari Area","122","Shrubland deciduous",3.93643008
"1375",2018,"BW","Forest Reserve","122","Shrubland deciduous",0.4473216
"1397",2018,"BW","Other Land","122","Shrubland deciduous",0.08946432
"1470",2018,"BW","Other Land","122","Shrubland deciduous",29.70215424
"1485",2018,"BW","National Park","122","Shrubland deciduous",12.5250048
"1504",2018,"BW","Forest Reserve","122","Shrubland deciduous",0.08946432
"1506",2018,"BW","State Forest","122","Shrubland deciduous",2.50500096
"1587",2018,"BW","Wildlife Management Area","122","Shrubland deciduous",25.67625984
"1589",2018,"BW","Other Land","122","Shrubland deciduous",2.41553664
"1642",2018,"BW","Other Land","130","Grassland",5.18893056
"1662",2018,"BW","National Park","130","Grassland",103.15236096
"1693",2018,"BW","National Park","130","Grassland",0.08946432
"1706",2018,"BW","State Forest","130","Grassland",1.52089344
"1779",2018,"BW","Hunting Reserve","130","Grassland",5.09946624
"1787",2018,"BW","National Park","130","Grassland",4.9205376
"1839",2018,"BW","Wildlife Management Area","130","Grassland",3.93643008
"1855",2018,"BW","Forest Reserve","130","Grassland",0.80517888
"1866",2018,"BW","Safari Area","130","Grassland",9.75161088
"1882",2018,"BW","Other Land","130","Grassland",143.67969792
"1886",2018,"BW","Forest Reserve","130","Grassland",27.2866176
"2001",2018,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",0.8946432
"2008",2018,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",3.1312512
"2023",2018,"BW","Safari Area","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",0.35785728
"2024",2018,"BW","National Park","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",0.17892864
"2027",2018,"BW","Wildlife Management Area","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",1.69982208
"2062",2018,"BW","Other Land","190","Urban areas",0.17892864
"2077",2018,"BW","Other Land","190","Urban areas",32.92286976
"2120",2018,"BW","Other Land","200","Bare areas",3.31017984
"2150",2018,"BW","Other Land","200","Bare areas",65.66681088
"2178",2018,"BW","Wildlife Management Area","210","Water bodies",10.64625408
"2226",2018,"BW","Other Land","210","Water bodies",1.16303616
"2229",2018,"BW","National Park","210","Water bodies",3.31017984
"2242",2018,"BW","Safari Area","210","Water bodies",0.17892864
"2296",2018,"BW","Safari Area","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",3.5785728
"2324",2018,"BW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",531.4180608
"2340",2018,"BW","State Forest","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",25.31840256
"2395",2018,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",1.25250048
"2401",2018,"BW","Hunting Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",0.8946432
"2408",2018,"BW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",1.7892864
"2426",2018,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",5.8151808
"2459",2018,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",15.29839872
"2502",2018,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",4.65214464
"2515",2018,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",56.8098432
"2537",2018,"BW","Wildlife Management Area","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",4.473216
"2587",2018,"BW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",1.07357184
"2592",2018,"BW","Safari Area","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",2.05767936
"2631",2018,"BW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",0.08946432
"2634",2018,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",1.3419648
"2668",2018,"BW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",2.41553664
"2694",2018,"BW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.75750144
"2709",2018,"BW","State Forest","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",0.35785728
"2721",2018,"BW","Wildlife Management Area","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",5.90464512
"2759",2018,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",27.19715328
"2832",2018,"BW","Hunting Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",10.37786112
"2853",2018,"BW","Safari Area","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",0.35785728
"2867",2018,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",514.77769728
"2896",2018,"BW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",5.90464512
"2910",2018,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",66.38252544
"2923",2018,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",0.62625024
"2935",2018,"BW","Safari Area","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",79.08645888
"2998",2018,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",51.17359104
"3005",2018,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",55.0205568
"3016",2018,"BW","Wildlife Management Area","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",98.14235904
"3022",2018,"BW","State Forest","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",191.99043072
"3075",2018,"BW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",285.48064512
"3102",2018,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",326.45530368
"3125",2018,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",0.08946432
"3129",2018,"BW","Wildlife Management Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",117.55611648
