"Country","LUT","area_km2","cattle","goats","sheep","small_rumin_TLU"
"BW","Commercial Agriculture (Private)",285.644852714432,542.827056883714,295.160887246254,0.867356143352161,245.307723652435
"BW","Forest (State)",2525.80424739454,2132.46390382886,634.044398842219,3.07349820925455,920.847409639758
"BW","Mixed (Private)",2796.3728082893,2631.46169285251,979.744804388432,3.45296585085704,1153.56310806345
"BW","Wildlife (State)",405.799737951947,24.2866482143598,8.01333614087568,0.0324077458960086,10.5618643887961
"ZW","Forest (State)",1503.06800479149,5462.62097479019,4369.13429208718,187.853215914741,2600.48705701741
"ZW","Mixed (Communal)",1755.59235584195,6238.36260866566,8312.42949684786,227.293680847283,3243.96959396944
"ZW","Mixed (Private)",2885.80229813681,10045.4621826815,11119.7129540686,303.219091681518,5031.12463032487
"ZW","Wildlife (Communal)",2720.38140421689,8727.87307123096,12027.0785164688,284.415626902064,4571.96889957681
"ZW","Wildlife (Private)",64.2702543464646,161.654736049361,150.326731920041,6.30573046414669,78.5270485246826
"ZW","Wildlife (State)",10407.2959183416,12772.9368342328,15637.9319897774,325.132002654157,6513.9212018103
