"lc_class","lc_desc","depth_m"
10,"Crops rainfed",21.2475319140078
30,"Crop-tree mosaic",38.7799944435029
60,"Woodland",22.7597030380898
120,"Shrubland",16.5902248429734
130,"Grassland",39.9167903967215
180,"Flooded Vegetation",45.1851850807772
190,"Built areas",1.32777777650414
200,"Bare areas",43.8350570153641
210,"Water bodies",76.8399758468817
