"country","date","land use (tenure)","area_km2","npp"
"BW",2001-08-15,"Mixed (Private)",2796.3728082893,9560.39576628804
"BW",2001-08-15,"Wildlife (State)",405.799737951947,1427.4389680326
"BW",2001-09-15,"Commercial Agriculture (Private)",285.644852714432,256.931105330586
"BW",2001-09-15,"Forest (State)",2525.80424739454,4804.66143429279
"BW",2001-09-15,"Mixed (Private)",2796.3728082893,2824.27365167439
"BW",2001-09-15,"Wildlife (State)",405.799737951947,382.163389399648
"BW",2001-10-15,"Commercial Agriculture (Private)",285.644852714432,1140.86809808016
"BW",2001-10-15,"Forest (State)",2525.80424739454,22135.9509800673
"BW",2001-10-15,"Mixed (Private)",2796.3728082893,15677.8269380927
"BW",2001-10-15,"Wildlife (State)",405.799737951947,2608.95475071669
"BW",2001-11-15,"Commercial Agriculture (Private)",285.644852714432,3506.11411309242
"BW",2001-11-15,"Forest (State)",2525.80424739454,55059.3264687061
"BW",2001-11-15,"Mixed (Private)",2796.3728082893,43828.0724179745
"BW",2001-11-15,"Wildlife (State)",405.799737951947,5858.10814237595
"BW",2001-12-15,"Commercial Agriculture (Private)",285.644852714432,4906.96072936058
"BW",2001-12-15,"Forest (State)",2525.80424739454,71025.0844545364
"BW",2001-12-15,"Mixed (Private)",2796.3728082893,64638.1812918186
"BW",2001-12-15,"Wildlife (State)",405.799737951947,9600.78527283669
"BW",2002-01-15,"Commercial Agriculture (Private)",285.644852714432,5082.26574158669
"BW",2002-01-15,"Forest (State)",2525.80424739454,73418.618064642
"BW",2002-01-15,"Mixed (Private)",2796.3728082893,65627.7672948837
"BW",2002-01-15,"Wildlife (State)",405.799737951947,9984.40733575821
"BW",2002-02-15,"Commercial Agriculture (Private)",285.644852714432,5682.61989951134
"BW",2002-02-15,"Forest (State)",2525.80424739454,71970.1434953213
"BW",2002-02-15,"Mixed (Private)",2796.3728082893,65823.4462869167
"BW",2002-02-15,"Wildlife (State)",405.799737951947,10255.5885488987
"BW",2002-03-15,"Commercial Agriculture (Private)",285.644852714432,3186.86223208904
"BW",2002-03-15,"Forest (State)",2525.80424739454,41925.5866447687
"BW",2002-03-15,"Mixed (Private)",2796.3728082893,37467.7777951956
"BW",2002-03-15,"Wildlife (State)",405.799737951947,6236.12008559704
"BW",2002-04-15,"Commercial Agriculture (Private)",285.644852714432,2170.34645664692
"BW",2002-04-15,"Forest (State)",2525.80424739454,29285.7831357121
"BW",2002-04-15,"Mixed (Private)",2796.3728082893,24614.5786604881
"BW",2002-04-15,"Wildlife (State)",405.799737951947,3938.2264200449
"BW",2002-05-15,"Commercial Agriculture (Private)",285.644852714432,1694.18501985073
"BW",2002-05-15,"Forest (State)",2525.80424739454,25781.9252899885
"BW",2002-05-15,"Mixed (Private)",2796.3728082893,19908.1515129805
"BW",2002-05-15,"Wildlife (State)",405.799737951947,3074.30908572674
"BW",2002-06-15,"Commercial Agriculture (Private)",285.644852714432,1569.37204581499
"BW",2002-06-15,"Forest (State)",2525.80424739454,25142.6831896305
"BW",2002-06-15,"Mixed (Private)",2796.3728082893,19521.6356217265
"BW",2002-06-15,"Wildlife (State)",405.799737951947,3041.32677406073
"BW",2002-07-15,"Commercial Agriculture (Private)",285.644852714432,1142.75788384676
"BW",2002-07-15,"Forest (State)",2525.80424739454,18810.3208540082
"BW",2002-07-15,"Mixed (Private)",2796.3728082893,15180.4940860569
"BW",2002-07-15,"Wildlife (State)",405.799737951947,2391.95672163367
"BW",2002-08-15,"Commercial Agriculture (Private)",285.644852714432,1066.1338532567
"BW",2002-08-15,"Forest (State)",2525.80424739454,15616.9448223114
"BW",2002-08-15,"Mixed (Private)",2796.3728082893,13356.6062270403
"BW",2002-08-15,"Wildlife (State)",405.799737951947,2235.69682100415
"BW",2002-09-15,"Commercial Agriculture (Private)",285.644852714432,808.801187932491
"BW",2002-09-15,"Forest (State)",2525.80424739454,11657.0629892051
"BW",2002-09-15,"Mixed (Private)",2796.3728082893,10380.730351299
"BW",2002-09-15,"Wildlife (State)",405.799737951947,1764.08269926906
"BW",2002-10-15,"Commercial Agriculture (Private)",285.644852714432,750.720470398664
"BW",2002-10-15,"Forest (State)",2525.80424739454,11322.7521789074
"BW",2002-10-15,"Mixed (Private)",2796.3728082893,9110.48432961106
"BW",2002-10-15,"Wildlife (State)",405.799737951947,1434.1712770164
"BW",2002-11-15,"Commercial Agriculture (Private)",285.644852714432,1049.8937035203
"BW",2002-11-15,"Forest (State)",2525.80424739454,15570.0550813079
"BW",2002-11-15,"Mixed (Private)",2796.3728082893,12571.6751829684
"BW",2002-11-15,"Wildlife (State)",405.799737951947,1888.15748164058
"BW",2002-12-15,"Commercial Agriculture (Private)",285.644852714432,2246.05506980419
"BW",2002-12-15,"Forest (State)",2525.80424739454,31469.7006460428
"BW",2002-12-15,"Mixed (Private)",2796.3728082893,26482.2559410632
"BW",2002-12-15,"Wildlife (State)",405.799737951947,3692.79330495
"BW",2003-01-15,"Commercial Agriculture (Private)",285.644852714432,4177.21657919884
"BW",2003-01-15,"Forest (State)",2525.80424739454,60433.8740375042
"BW",2003-01-15,"Mixed (Private)",2796.3728082893,53629.9230184555
"BW",2003-01-15,"Wildlife (State)",405.799737951947,7825.79537534714
"BW",2003-02-15,"Commercial Agriculture (Private)",285.644852714432,4920.66135907173
"BW",2003-02-15,"Forest (State)",2525.80424739454,56591.8956339359
"BW",2003-02-15,"Mixed (Private)",2796.3728082893,56296.3799798489
"BW",2003-02-15,"Wildlife (State)",405.799737951947,8398.98428082466
"BW",2003-03-15,"Commercial Agriculture (Private)",285.644852714432,3830.59251952171
"BW",2003-03-15,"Forest (State)",2525.80424739454,45847.7322384119
"BW",2003-03-15,"Mixed (Private)",2796.3728082893,45823.7227674723
"BW",2003-03-15,"Wildlife (State)",405.799737951947,6797.52753067017
"BW",2003-04-15,"Commercial Agriculture (Private)",285.644852714432,2301.21256279945
"BW",2003-04-15,"Forest (State)",2525.80424739454,30024.5925920606
"BW",2003-04-15,"Mixed (Private)",2796.3728082893,27283.9883986712
"BW",2003-04-15,"Wildlife (State)",405.799737951947,4022.32091444731
"BW",2003-05-15,"Commercial Agriculture (Private)",285.644852714432,1824.93304109573
"BW",2003-05-15,"Forest (State)",2525.80424739454,25683.6281719804
"BW",2003-05-15,"Mixed (Private)",2796.3728082893,22340.5137318969
"BW",2003-05-15,"Wildlife (State)",405.799737951947,3333.05901879072
"BW",2003-06-15,"Commercial Agriculture (Private)",285.644852714432,1564.70667272806
"BW",2003-06-15,"Forest (State)",2525.80424739454,22944.5627432466
"BW",2003-06-15,"Mixed (Private)",2796.3728082893,19885.6809668541
"BW",2003-06-15,"Wildlife (State)",405.799737951947,3037.72442370653
"BW",2003-07-15,"Commercial Agriculture (Private)",285.644852714432,1413.14176160097
"BW",2003-07-15,"Forest (State)",2525.80424739454,20965.8917089701
"BW",2003-07-15,"Mixed (Private)",2796.3728082893,18124.0965115428
"BW",2003-07-15,"Wildlife (State)",405.799737951947,2855.45081430674
"BW",2003-08-15,"Commercial Agriculture (Private)",285.644852714432,1042.00984674692
