"","country","date","rain","temperature","evaporation","total_runoff","soil_moist"
"1","BW",1991-01-16,278.227422708963,23.5527395853182,150.920160020781,0.0267825241368299,160.778722437417
"2","BW",1991-02-15,193.232169193102,23.2302089784204,134.020977270812,8.52184184712802,273.166014880669
"3","BW",1991-03-16,57.208171305559,22.302331691835,121.558555615952,2.23942723689727,235.809954387386
"4","BW",1991-04-16,4.59430323107659,20.552156029678,91.1566734614941,0.107289965473105,161.827413047232
"5","BW",1991-05-16,8.18710981718429,19.1518346274771,33.0150944311931,1.47852324627342e-05,107.85455415307
"6","BW",1991-06-16,5.94399675759544,15.3067024044874,5.83035181590254,0,99.2142106963367
"7","BW",1991-07-16,1.77315731565968,15.2505262421399,1.96623711744462,0,99.1250210273557
"8","BW",1991-08-16,0.0999858956570889,18.3632120272009,0.0998707844247769,0,99.0830081846656
"9","BW",1991-09-16,3.86539900562905,24.2198315131955,3.850615980521,0,99.1024452767721
"10","BW",1991-10-16,105.211588240331,23.9783734577458,93.695900007293,0,110.169371256014
"11","BW",1991-11-16,111.771171506517,24.4363790372523,86.2723598441268,0,111.947066516411
"12","BW",1991-12-16,320.813586406137,21.4530706638243,135.316842589698,7.49410655876967,231.196259289253
"13","BW",1992-01-16,58.0856043095814,23.1669921875,137.696463663256,7.04496829061056,269.189486619903
"14","BW",1992-02-15,115.356975771975,22.932595601896,129.356648823212,1.1461593628437,249.060106603111
"15","BW",1992-03-15,43.3555918884827,22.4820913919588,113.172688839173,0.305756414693379,186.99511849008
"16","BW",1992-04-15,17.1160996563608,20.1079384408346,56.279283559955,0.00599785575420476,119.688001865294
"17","BW",1992-05-15,10.7550809271144,18.1336655035252,15.0676962868602,0,100.597619219524
"18","BW",1992-06-15,5.06566067234394,18.4271210461128,5.18912249567731,0,99.2811577029345
"19","BW",1992-07-15,0.578602693667563,15.8663441727801,0.565213165452028,0,99.0841637588129
"20","BW",1992-08-15,0.600768606807655,20.0774551019436,0.608881533350829,0,99.0834449209818
"21","BW",1992-09-15,0.643523719404362,22.7719964748476,0.649772229821349,0,99.0836014166111
"22","BW",1992-10-15,18.9969775544851,25.8029383217416,16.5708478946571,0,99.3751723126667
"23","BW",1992-11-15,257.000323600794,23.1080694431212,140.248157402001,0.900484450628538,141.95106059749
"24","BW",1992-12-16,158.317474477709,21.7238918397485,137.679338292787,1.35263466082361,222.417915902487
"25","BW",1993-01-16,127.335515901412,23.072890863186,154.397417311329,2.11160295926706,215.700369113829
"26","BW",1993-02-15,117.156853734675,22.8252243414158,130.599120141166,0.703018153260392,204.095800632384
"27","BW",1993-03-16,32.5737511737715,23.0831425364424,99.4513123516255,0.17445037694447,154.383171639791
"28","BW",1993-04-16,17.4149242630825,22.2442001714939,42.5233834276896,0.0010444403039994,112.005715160835
"29","BW",1993-05-16,4.34012903444854,19.9809190703601,6.38307861172063,0,99.2502370694788
"30","BW",1993-06-16,0.717530572595623,15.208787127239,0.712893699329004,0,99.0705750628215
"31","BW",1993-07-16,3.99471510949874,15.6359997260861,3.85650110192506,0,99.1529096277749
"32","BW",1993-08-16,0.00885057027876955,18.1970006431021,0.150304935328488,0,99.0797720188048
"33","BW",1993-09-16,28.0648741846984,23.1407225073838,27.5870712818975,0,99.4008223370808
"34","BW",1993-10-16,70.1789057237187,25.5335216987424,54.991296506856,0,100.534062083175
"35","BW",1993-11-16,73.3665809526517,25.863139827077,86.5333243557138,0,102.285050182808
"36","BW",1993-12-16,135.346826663377,24.474155332984,127.619455204482,0,107.031303777927
"37","BW",1994-01-16,142.272665475995,22.966437363043,139.661681857074,0,112.668910887183
"38","BW",1994-02-15,128.680096800643,23.0496922934927,124.717348988918,0,120.559842923792
"39","BW",1994-03-16,53.7243138469909,23.5114708877192,69.7977374797607,0,102.905853457567
"40","BW",1994-04-16,7.62436000336382,23.3521527546208,8.3022032830319,0,99.1597861313238
"41","BW",1994-05-16,11.9879916982538,18.4935734446456,12.0344785685586,0,99.3200601717321
"42","BW",1994-06-16,1.44392261444875,16.2395175840796,1.44686838185163,0,99.0733798887671
"43","BW",1994-07-16,0.633954185786934,14.8178673720942,0.627264808894679,0,99.0735492241092
"44","BW",1994-08-16,0.182055775021248,17.5643362650057,0.185677666712397,0,99.0732420014172
"45","BW",1994-09-16,0.121697432915403,23.5799515887005,0.121327772972552,0,99.0729042611471
"46","BW",1994-10-16,80.3051022990187,24.8583924828506,79.0210828555623,0,100.205739835413
"47","BW",1994-11-16,132.011570391336,24.1093980742664,110.726061617819,0,106.21985979778
"48","BW",1994-12-16,104.437126222964,23.2066687607183,125.940200919001,0,109.019149035942
"49","BW",1995-01-16,179.884877625467,22.8916625976562,147.83585415784,0,120.260207571634
"50","BW",1995-02-15,327.017612214677,22.1835044302591,119.010874618799,19.6403315479717,271.373282827982
"51","BW",1995-03-16,46.2956914446095,21.7560328041635,123.48365862939,10.4989584608369,282.914879031298
"52","BW",1995-04-16,15.8129503997327,20.5874179747046,93.4400633460183,0.52873449815723,194.69893162425
"53","BW",1995-05-16,2.40690281856054,16.1862316596799,57.167580037551,0.000394410459726138,123.469383984077
"54","BW",1995-06-16,1.59375932892034,16.2208847418064,2.44027203761351,0,99.0932354810761
"55","BW",1995-07-16,0.826955543846829,15.1308139707984,0.845716137068737,0,99.0576972031012
"56","BW",1995-08-16,0.216672303994107,20.040424626048,0.217893510925822,0,99.0574530624762
"57","BW",1995-09-16,3.27464445537061,25.0438567370903,3.29064918678785,0,99.0748389639506
